Gridcode,BD,Sand,Clay,Silt,CRF
100001,479.114,43.109,21.964,34.957,3.494
100002,783.751,37.145,22.466,40.415,5.932
100003,731.003,47.916,18.051,34.033,3.009
100004,857.933,40.029,21.093,38.887,5.731
100005,904.902,40.595,18.961,40.445,10.022
100006,762.866,60.027,14.24,25.716,1.813
100007,797.016,55.055,13.893,31.039,2.718
100008,690.562,49.689,16.161,34.141,4.163
100009,734.541,45.542,13.7,40.743,9.274
100010,903.35,69.733,6.372,23.877,1.872
100011,807.186,65.692,8.102,26.246,2.343
100012,733.389,60.908,9.369,29.703,3.149
100013,622.823,56.204,12.211,31.555,3.348
100014,616.585,52.441,9.559,37.979,6.976
100015,897.531,70.783,6.621,22.562,3.886
100016,981.273,74.454,3.596,21.808,2.745
100017,823.546,71.757,4.895,23.348,2.518
100018,750.987,61.193,8.865,29.934,3.403
100019,516.451,46.231,16.383,37.391,5.915
100020,651.809,53.056,9.796,37.147,5.729
100021,863.343,78.383,3.185,18.328,2.785
100022,734.406,78.345,2.922,18.57,2.686
100023,724.122,77.396,3.634,18.881,1.618
100024,695.201,69.121,7.505,23.353,2.217
100025,627.234,54.779,10.354,34.873,5.045
100026,722.643,55.649,7.6,36.756,5.3
100027,1066.246,86.132,2.906,10.845,1.491
100028,962.463,83.302,2.522,14.079,1.717
100029,772.078,78.794,2.318,18.74,2.413
100030,731.484,73.466,4.232,22.234,2.666
100031,755.017,70.249,4.162,25.559,2.805
100032,784.714,63.142,4.907,31.945,3.437
100033,860.713,60.158,4.819,35.017,4.5
100034,1052.064,82.353,3.319,14.209,2.11
100035,1043.335,82.971,3.398,13.507,2.16
100036,899.591,80.73,2.847,16.294,2.236
100037,793.816,74.287,3.491,22.127,2.717
100038,734.937,69.63,4.343,25.976,2.553
100039,806.672,63.27,5.545,31.17,3.691
100040,993.026,79.798,3.431,16.657,2.782
100041,1036.665,83.692,3.27,12.885,2.155
100042,907.153,80.316,3.69,15.868,2.929
100043,705.374,74.236,4.069,21.581,1.789
100044,719.13,66.945,5.019,27.994,2.569
100045,735.768,66.261,5.897,27.84,2.757
100046,1007.864,85.082,2.579,12.221,1.804
100047,993.321,80.864,4.304,14.71,2.446
100048,887.773,78.528,4.081,17.25,2.272
100049,686.772,75.47,3.579,20.827,1.486
100050,624.63,70.577,4.364,24.974,2.844
100051,708.576,70.368,5.113,24.45,2.582
100052,1106.895,82.8,5.134,11.943,2.072
100053,966.078,79.029,5.79,15.079,2.801
100054,882.121,77.775,5.334,16.775,2.408
100055,902.063,73.914,3.765,22.19,3.758
100056,600.328,74.919,3.009,22.019,1.942
100057,649.995,71.708,6.042,22.226,1.137
100058,991.358,81.922,4.937,12.979,2.089
100059,958.484,77.087,6.055,16.766,2.996
100060,877.395,77.787,5.936,16.208,2.013
100061,746.763,77.199,4.44,18.236,2.033
100062,592.32,72.313,4.296,23.284,1.367
100063,724.189,73.56,8.805,17.553,2.85
100064,1057.524,82.253,4.769,12.876,2.674
100065,1028.638,76.385,7.659,15.96,3.252
100066,878.059,79.041,7.261,13.712,2.163
100067,644.378,77.08,3.979,18.808,1.025
100068,739.143,70.811,4.202,24.86,1.49
100069,784.822,76.156,7.195,16.571,0.829
100070,963.795,84.058,2.789,13.008,1.788
100071,1057.268,83.016,4.85,12.035,1.937
100072,924.444,82.492,5.065,12.366,1.678
100073,779.76,78.571,5.941,15.424,1.732
100074,679.633,75.059,4.112,20.712,1.122
100075,825.141,70.722,6.433,22.856,0.251
100076,904.377,78.562,4.756,16.576,0.953
100077,925.591,82.113,3.727,14.069,0.985
100078,1071.444,84.102,3.164,12.589,1.121
100079,1099.058,84.976,4.181,10.718,1.159
100080,1014.586,86.104,3.202,10.595,1.801
100081,864.538,82.113,3.21,14.556,1.643
100082,753.029,75.066,3.75,21.067,1.958
100083,943.107,73.586,5.056,21.262,0.487
100084,946.308,73.908,6.078,19.987,0.095
100085,886.417,73.482,6.11,20.416,0.416
100086,921.36,75.05,4.748,20.153,0.501
100087,841.368,72.234,6.327,21.361,0.88
100088,878.908,69.295,9.434,21.232,1.268
100089,1000.133,83.397,3.136,13.394,0.275
100090,1124.203,83.127,4.745,12.038,0.514
100091,1154.875,85.043,4.116,10.743,0.591
100092,1060.314,86.337,2.683,10.892,0.449
100093,1034.409,85.943,2.265,11.691,1.195
100094,892.921,79.146,3.859,16.918,1.31
100095,790.293,73.082,5.251,21.564,1.454
100096,930.795,62.819,10.675,26.467,1.181
100097,970.302,70.494,8.478,21.023,0.975
100098,916.563,66.874,8.417,24.704,0.875
100099,885.738,72.282,7.029,20.587,0.306
100100,993.647,79.553,5.11,15.238,1.204
100101,1005.689,80.353,4.481,15.078,0.833
100102,1008.272,76.437,7.413,16.099,0.436
100103,1015.224,76.204,7.578,16.183,0.862
100104,1018.771,75.973,7.288,16.676,1.409
100105,1006.366,74.317,8.118,17.513,0.785
100106,1019.456,80.355,6.222,13.4,0.535
100107,1176.124,83.338,5.934,10.666,0.92
100108,1082.081,82.582,5.441,11.825,0.545
100109,1017.627,81.768,3.83,14.369,0.341
100110,1021.094,84.548,2.45,12.903,0.445
100111,971.244,77.589,4.922,17.43,1.421
100112,1042.702,62.338,11.459,26.223,0.604
100113,1045.898,63.972,11.292,24.749,0.872
100114,1058.585,69.733,9.19,21.103,1.57
100115,1011.447,71.571,8.166,20.305,2.025
100116,1056.431,66.26,11.068,22.677,1.333
100117,1091.43,72.579,10.544,16.859,1.56
100118,1131.392,74.775,10.892,14.319,1.9
100119,1117.713,72.101,12.09,15.787,1.888
100120,1137.37,73.901,10.842,15.244,2.018
100121,1113.368,75.843,10.199,13.967,1.906
100122,1107.673,78.023,10.1,11.883,1.786
100123,1091.921,77.699,10.048,12.224,1.432
100124,1085.073,80.895,7.275,11.806,1.03
100125,1027.134,80.155,6.043,13.706,0.281
100126,987.031,75.34,8.906,15.701,0.172
100127,1015.737,79.591,5.775,14.549,0.47
100128,910.488,73.434,7.072,19.398,0.292
100129,1289.91,75.921,10.736,13.309,2.135
100130,1277.863,76.889,9.881,13.192,2.239
100131,1269.076,79.038,8.784,12.185,2.03
100132,1238.668,80.844,7.706,11.385,2.032
100133,1224.285,79.573,8.795,11.541,1.707
100134,1164.121,78.865,8.961,12.089,1.101
100135,1067.371,79.987,7.437,12.578,0.308
100136,1022.644,74.681,10.413,14.909,0.257
100137,1040.867,77.505,8.076,14.347,0.241
100138,957.181,70.919,9.588,19.425,0.259
100139,1291.883,73.33,12.525,14.062,2.55
100140,1295.352,76.06,10.898,12.909,2.292
100141,1297.323,77.114,9.979,12.781,2.182
100142,1301.386,80.556,7.874,11.529,2.502
100143,1304.486,82.163,6.902,10.788,2.025
100144,1221.835,79.672,7.784,12.408,1.531
100145,1182.923,81.148,7.623,11.14,0.56
100146,1181.375,81.07,7.951,11.041,0.657
100147,1098.06,76.295,9.675,14.039,0.199
100148,1018.702,71.183,10.602,18.214,0.057
100149,836.583,63.948,13.182,22.873,0.401
100150,1280.226,65.926,15.639,18.396,2.868
100151,1298.839,72.425,12.795,14.696,1.957
100152,1307.671,72.182,12.507,15.234,1.887
100153,1317.299,75.907,10.276,13.723,2.455
100154,1318.777,79.066,8.418,12.357,2.281
100155,1279.842,79.397,8.312,12.195,2.026
100156,1248.309,80.455,7.475,12.046,1.17
100157,1230.174,80.635,7.858,11.519,0.777
100158,1166.118,77.115,9.759,13.098,0.432
100159,1074.784,68.4,13.257,18.321,0.082
100160,999.21,62.102,15.347,22.536,0.234
100161,1254.433,61.115,17.615,21.26,3.743
100162,1293.456,70.928,13.451,15.578,2.376
100163,1329.504,72.789,12.317,14.835,1.809
100164,1344.928,69.646,13.611,16.7,1.902
100165,1313.537,74.38,10.816,14.727,1.887
100166,1256.773,70.699,13.167,16.088,1.37
100167,1208.826,71.495,12.657,15.817,1.056
100168,1221.112,71.835,12.829,15.328,0.841
100169,1187.696,71.035,13.054,15.908,0.549
100170,1128.988,72.093,11.716,16.155,0.204
100171,1047.082,58.343,17.377,24.255,0.141
100172,894.567,48.593,22.109,29.294,1.687
100173,1260.628,60.823,15.912,23.266,2.644
100174,1275.796,65.492,14.505,19.983,3.264
100175,1290.636,69.206,13.16,17.61,1.866
100176,1346.91,66.722,15.421,17.833,1.622
100177,1334.266,66.683,15.407,17.875,1.714
100178,1281.454,74.716,10.758,14.473,1.678
100179,1226.863,70.761,12.591,16.605,1.031
100180,1209.439,73.863,11.01,15.089,1.102
100181,1227.799,73.246,11.168,15.58,0.835
100182,1188.265,70.426,12.83,16.693,0.445
100183,1138.616,63.794,15.901,20.269,0.074
100184,1017.758,53.387,21.139,25.463,0.367
100185,1297.422,58.955,17.013,24.029,3.073
100186,1291.849,61.835,15.506,22.664,3.166
100187,1288.798,65.559,14.32,20.111,2.513
100188,1318.004,67.675,14.058,18.264,1.58
100189,1289.545,60.566,17.372,22.038,1.833
100190,1302.797,69.405,13.014,17.555,1.483
100191,1253.951,68.051,13.738,18.181,0.896
100192,1206,70.314,12.134,17.538,0.764
100193,1227.321,74.051,10.761,15.184,0.787
100194,1211.989,69.21,13.799,16.96,0.722
100195,1156.741,64.714,16.787,18.476,0.159
100196,1100.758,57.602,20.112,22.282,0.175
100197,947.214,47.879,25.277,26.841,0.617
100198,922.639,48.705,22.891,28.407,0.741
100199,1287.271,54.452,16.929,28.609,3.87
100200,1286.237,55.885,16.646,27.451,4.646
100201,1304.293,57.658,16.432,25.885,2.953
100202,1305.468,59.893,15.776,24.317,2.425
100203,1285.407,60.137,16.571,23.279,2.785
100204,1263.306,57.666,17.521,24.802,2.361
100205,1270.595,66.503,13.925,19.556,1.268
100206,1253.734,66.417,13.758,19.812,0.641
100207,1242.557,63.447,15.314,21.218,0.587
100208,1197.932,66.846,14.351,18.789,0.472
100209,1163.744,60.809,18.222,20.97,0.186
100210,1148.571,60.07,18.292,21.635,0.088
100211,1133.89,57.303,19.44,23.25,0.05
100212,1086.705,54.172,20.62,25.212,0.038
100213,1032.22,51.767,21.347,26.881,0.357
100214,1272.631,50.651,17.623,31.707,3.299
100215,1292.759,53.677,17.091,29.212,3.042
100216,1317.953,56.133,17.054,26.785,3.223
100217,1295.259,53.321,17.713,28.951,2.806
100218,1291.985,54.125,17.763,28.101,2.491
100219,1277.554,58.371,16.205,25.4,2.901
100220,1251.274,62.651,15.004,22.315,2.359
100221,1273.76,68.474,12.661,18.858,1.492
100222,1263.571,65.811,13.761,20.418,1.121
100223,1202.04,58.017,18.644,23.342,1.103
100224,1200.602,65.125,15.187,19.684,0.762
100225,1181.535,58.892,18.068,23.045,0.295
100226,1189.002,58.713,17.946,23.333,0.142
100227,1140.109,57.051,18.86,24.095,0.123
100228,1072.233,54.006,20.444,25.557,0.06
100229,979.659,54.627,18.289,27.073,0.347
100230,1273.584,47.487,16.849,35.605,3.804
100231,1271.086,51.673,17.714,30.597,3.625
100232,1276.182,54.074,18.388,27.527,3.445
100233,1283.14,53.659,17.924,28.4,2.96
100234,1297.821,52.822,18.002,29.157,2.218
100235,1269.304,52.387,18.318,29.282,3.292
100236,1263.52,56.223,16.857,26.903,3.531
100237,1262.839,61.563,15.164,23.251,2.947
100238,1264.235,59.716,17.204,23.08,2.994
100239,1230.183,66.993,12.918,20.094,2.404
100240,1223.092,67.025,14.121,18.849,1.258
100241,1201.324,61.051,17.113,21.835,0.708
100242,1217.539,59.325,17.711,22.955,0.535
100243,1163.556,51.839,21.121,27.039,0.333
100244,1127.442,51.974,21.598,26.442,0.039
100245,1120.993,57.372,17.097,25.525,0.027
100246,993.094,53.965,17.09,28.945,0.272
100247,1270.277,42.159,16.456,41.35,4.365
100248,1265.828,45.094,17.033,37.829,4.282
100249,1246.844,47.783,18.491,33.7,4.628
100250,1234.249,52.096,19.313,28.594,4.522
100251,1261.193,53.466,18.578,27.949,3.897
100252,1286.455,54.099,17.224,28.65,2.979
100253,1275.604,50.761,18.133,31.097,3.485
100254,1272.215,52.168,18.146,29.683,2.936
100255,1232.873,48.615,19.752,31.625,3.251
100256,1245.279,52.093,17.568,30.329,3.53
100257,1246.657,65.433,12.168,22.381,2.813
100258,1235.891,66.925,11.71,21.372,2.544
100259,1201.209,62.132,15.182,22.699,1.945
100260,1156.479,51.588,22.865,25.542,0.93
100261,1216.415,60.196,16.21,23.591,0.423
100262,1193.32,57.132,17.066,25.808,0.04
100263,1176.6,58.473,16.466,25.065,0.009
100264,1085.6,56.84,17.456,25.694,0.044
100265,994.578,56.808,16.613,26.57,0.092
100266,1279.886,37.265,18.856,43.856,4.347
100267,1264.697,40.032,18.921,41.03,4.312
100268,1237.579,45.992,18.74,35.245,4.549
100269,1244.963,47.837,20.504,31.645,4.825
100270,1255.133,50.194,20.216,29.595,4.913
100271,1271.827,50.836,19.112,30.053,3.793
100272,1282.156,52.532,18.622,28.843,2.952
100273,1267.962,49.946,19.815,30.232,3.3
100274,1259.107,49.032,19.553,31.399,3.184
100275,1272.798,53.397,17.078,29.511,2.947
100276,1277.547,53.974,16.563,29.448,3.01
100277,1235.669,55.111,16.728,28.153,3.006
100278,1235.582,58.526,16.321,25.154,2.723
100279,1195.582,57.953,16.628,25.413,1.804
100280,1209.406,61.839,15.021,23.14,0.587
100281,1218.028,58.844,16.522,24.626,0.106
100282,1174.558,53.471,19.168,27.375,0.059
100283,1192.199,60.723,14.15,25.131,0.039
100284,1165.032,62.981,12.269,24.766,0.005
100285,1030.306,56.832,15.116,28.048,0.067
100286,992.862,57.397,14.52,28.077,0.209
100287,1276.427,34.861,19.425,45.675,5.2
100288,1285.89,34.403,20.277,45.304,3.653
100289,1246.037,40.725,18.476,40.79,6.227
100290,1244.787,44.403,19.622,35.956,6.416
100291,1255.919,44.736,21.533,33.723,6.35
100292,1267.864,46.935,20.782,32.285,5.459
100293,1283.455,48.166,20.96,30.875,3.883
100294,1271.723,49.054,20.642,30.299,3.627
100295,1284.364,50.658,19.262,30.082,2.801
100296,1272.526,50.066,19.309,30.615,3
100297,1248.219,53.31,16.785,29.886,3.019
100298,1239.906,52.162,16.737,31.085,3.502
100299,1239.562,54.219,15.253,30.512,3.793
100300,1213.423,61.459,12.918,25.611,3
100301,1195.297,67.348,11.586,21.072,2.134
100302,1205.223,63.881,12.865,23.268,0.884
100303,1168.857,53.429,17.623,28.944,0.44
100304,1192.418,58.412,14.363,27.238,0.182
100305,1171.067,58.003,13.924,28.093,0.024
100306,1098.483,54.849,15.031,30.142,0.1
100307,1084.783,56.144,14.745,29.112,0.061
100308,1018.85,52.6,17.803,29.606,0.281
100309,1265.897,35.133,19.667,45.177,6.511
100310,1272.955,33.492,20.197,46.301,4.257
100311,1187.543,40.987,19.086,39.914,8.113
100312,1057.302,47.036,18.706,34.255,11.55
100313,1094.988,47.793,19.845,32.364,9.819
100314,1149.143,47.588,20.529,31.893,8.263
100315,1215.707,45.167,22.841,31.99,6.75
100316,1242.611,46.823,22.344,30.825,5.199
100317,1262.758,50.754,20.523,28.736,3.558
100318,1260.009,49.99,20.154,29.853,3.102
100319,1252.434,49.442,19.761,30.785,3.353
100320,1261.065,52.553,16.324,31.098,3.374
100321,1255.853,50.563,15.847,33.561,3.374
100322,1253.991,53.725,14.449,31.805,3.487
100323,1199.273,63.017,11.651,25.319,3.037
100324,1173.685,59.044,13.747,27.207,1.723
100325,1213.312,63.179,11.536,25.311,1.187
100326,1209.862,60.628,12.067,27.336,0.633
100327,1174.224,57.815,14.267,27.921,0.194
100328,1131.976,55.603,14.239,30.165,0.098
100329,1140.684,53.018,14.156,32.817,0.086
100330,1028.548,49.933,17.712,32.371,0.216
100331,1033.423,52.13,16.735,31.154,0.201
100332,1285.42,33.9,20.032,46.055,5.189
100333,1292.034,30.076,20.34,49.599,3.034
100334,1054.795,42.252,19.827,37.946,11.254
100335,1139.457,45.652,18.848,35.476,8.903
100336,1093.661,47.244,19.352,33.369,9.891
100337,976.208,51.096,19.361,29.544,11.443
100338,989.263,50.54,20.204,29.282,10.848
100339,1130.249,46.707,22.15,31.125,9.611
100340,1227.343,48.888,22.616,28.481,5.611
100341,1249.862,50.902,21.786,27.322,3.331
100342,1256.22,46.978,22.422,30.589,3.476
100343,1280.413,48.054,19.061,32.868,3.23
100344,1277.412,47.932,17.984,34.072,2.757
100345,1275.173,47.651,16.488,35.833,2.641
100346,1252.034,48.703,14.47,36.787,2.461
100347,1213.38,53.569,13.923,32.486,2.978
100348,1171.468,63.98,10.205,25.871,2.599
100349,1188.38,61.524,10.999,27.514,1.95
100350,1180.149,58.757,13.253,27.989,0.782
100351,1176.679,58.463,12.338,29.164,0.599
100352,1185.784,51.613,14.7,33.65,0.648
100353,1158.919,49.617,16.483,33.879,0.289
100354,1077.391,48.447,16.336,35.178,0.346
100355,1000.628,48.68,17.595,33.725,0.535
100356,960.023,49.28,16.416,34.297,0.253
100357,983.385,46.767,18.132,35.108,12.607
100358,984.053,49.972,18.071,31.955,11.781
100359,914.372,52.741,17.98,29.249,12.013
100360,934.311,52.463,18.424,29.108,11.563
100361,1068.61,49.626,19.581,30.822,11.825
100362,1209.295,46.572,23.457,29.956,5.494
100363,1261.889,47.694,23.228,29.056,3.41
100364,1278.057,45.427,21.882,32.687,3.805
100365,1264.554,45.654,21.296,33.034,3.211
100366,1269.908,46.016,19.081,34.897,2.922
100367,1267.403,45.425,15.872,38.684,2.795
100368,1221.883,43.697,14.789,41.48,3.66
100369,1174.147,56.322,11.693,31.975,3.227
100370,1161.117,58.965,11.703,29.334,3.185
100371,1181.185,58.705,12.468,28.83,1.692
100372,1197.682,60.452,11.929,27.556,1.622
100373,1183.213,55.231,13.06,31.686,1.607
100374,1158.328,51.658,14.059,34.271,0.96
100375,1109.474,47.563,15.709,36.686,0.259
100376,1072.042,46.345,15.926,37.682,0.29
100377,1014.805,47.129,17.442,35.411,0.426
100378,940.441,48.048,17.564,34.399,14.218
100379,907.356,49.113,17.654,33.203,12.956
100380,1012.731,48.523,18.774,32.682,11.597
100381,1045.645,49.823,19.19,30.978,10.117
100382,1121.254,47.885,20.709,31.415,10.252
100383,1186.923,47.48,20.779,31.733,9.23
100384,1283.953,46.642,22.455,30.903,4.169
100385,1264.625,44.672,22.17,33.147,3.739
100386,1277.335,44.819,22.332,32.839,2.697
