Gridcode,BD,Sand,Clay,Silt,CRF
100769,788.412,49.233,10.442,40.356,7.436
100770,979.042,29.434,17.335,53.172,9.176
100771,861.167,31.244,17.142,51.589,14.045
100772,821.293,34.815,17.413,47.802,13.588
100773,823.728,38.05,16.676,45.253,12.184
100774,827.289,36.864,17.177,45.889,14.193
100775,789.408,37.981,16.817,45.157,17.577
100776,765.796,40.633,16.086,43.235,19.283
100777,766.419,41.882,15.807,42.255,17.241
100778,760.568,45.186,15.072,39.664,14.876
100779,812.542,41.551,15.356,43.027,14.967
100780,760.223,43.105,14.279,42.57,15.408
100781,807.319,43.046,14.244,42.631,15.217
100782,863.094,39.925,15.125,44.874,12.2
100783,849.744,40.462,16.055,43.453,11.312
100784,722.105,43.708,13.362,42.836,11.729
100785,721.069,47.728,11.292,40.903,11.936
100786,861.856,41.88,14.574,43.576,7.98
100787,915.069,41.943,15.091,43.001,7.601
100788,794.877,48.477,11.887,39.662,9.368
100789,772.286,48.5,11.296,40.235,8.67
100790,792.857,50.576,10.033,39.425,7.837
100791,805.483,50.724,9.891,39.418,6.552
100792,710.649,54.754,7.871,37.352,7.279
100793,744.572,52.276,8.152,39.556,6.989
100794,644.355,52.905,6.83,40.262,6.168
100795,946.673,30.42,17.306,52.206,8.317
100796,879.558,30.811,16.89,52.245,12.488
100797,819.976,34.011,16.856,49.146,14.942
100798,798.939,39.955,15.619,44.378,15.062
100799,809.99,36.655,16.649,46.624,16.245
100800,800.083,36.743,16.969,46.223,17.289
100801,816.675,36.83,16.698,46.403,20.171
100802,811.753,39.139,16.127,44.678,18.934
100803,854.394,39.845,16.719,43.42,16.3
100804,906.446,37.533,16.837,45.613,13.95
100805,893.096,37.995,16.443,45.535,13.19
100806,896.463,37.161,16.086,46.738,11.549
100807,880.836,36.647,16.323,47.009,11.022
100808,806.749,37.686,15.736,46.536,12.153
100809,801.201,39.514,15.005,45.45,11.467
100810,726.925,45.099,12.615,42.254,9.906
100811,707.818,47.762,11.366,40.819,10.106
100812,849.454,42.61,13.956,43.445,6.712
100813,864.755,43.455,13.561,43.016,6.586
100814,721.617,49.604,11.154,39.259,10.493
100815,737.861,52.058,9.969,37.99,8.657
100816,904.301,49.1,11.891,39.001,5.363
100817,717.731,53.76,8.706,37.515,7.483
100818,703.463,54.548,8.365,37.069,7.366
100819,651.656,57.614,6.721,35.572,7.814
100820,837.632,54.176,10.006,35.811,7.204
100821,644.918,64.483,5.504,29.968,5.514
100822,679.73,70.071,5.801,24.038,5.375
100823,942.896,35.449,17.457,47.057,5.773
100824,899.458,32.98,16.919,50.072,9.298
100825,860.044,32.455,17.08,50.467,12.85
100826,846.474,32.558,17.844,49.605,14.143
100827,767.801,37.024,16.713,46.247,19.325
100828,810.268,34.707,17.365,47.889,19.928
100829,827.719,34.058,17.488,48.457,20.371
100830,914.304,33.764,17.971,48.286,16.958
100831,970.707,32.641,18.301,49.072,15.002
100832,926.709,34.484,17.53,48,13.769
100833,936.471,34.917,17.677,47.41,12.254
100834,909.672,34.749,16.904,48.357,10.598
100835,829.279,36.375,16.145,47.462,12.604
100836,782.694,38.497,15.458,46.081,14.407
100837,757.278,40.442,14.798,44.773,15.723
100838,718.539,41.288,14.547,44.159,14.995
100839,673.38,45.572,12.854,41.553,16.311
100840,756.754,47.584,12.017,40.383,10.423
100841,831.345,44.406,12.371,43.244,6.569
100842,771.767,45.109,13.179,41.744,8.7
100843,630.767,54.273,8.735,37.019,10.075
100844,852.517,50.398,10.243,39.347,5.269
100845,702.233,54.37,8.701,36.953,8.079
100846,663.811,56.432,7.761,35.821,8.878
100847,660.068,56.985,7.273,35.708,8.36
100848,774.259,58.486,8.466,33.009,6.097
100849,702.554,65.207,5.678,29.065,5.116
100850,882.085,37.074,16.781,46.183,9.682
100851,863.476,34.707,17.305,48.004,11.375
100852,832.29,32.949,17.59,49.491,17.733
100853,838.697,32.401,17.321,50.305,20.099
100854,876.438,29.766,18.364,51.919,17.009
100855,895.382,31.936,18.124,49.973,17.314
100856,939.242,32.235,17.936,49.85,14.731
100857,893.223,35.46,17.364,47.156,14.329
100858,884.713,33.635,17.547,48.821,13.197
100859,885.159,32.927,17.212,49.899,13.154
100860,891.849,35.246,16.777,48.036,10.745
100861,822.268,36.785,15.389,47.859,12.314
100862,808.512,36.379,15.832,47.85,15.779
100863,796.96,36.139,15.998,47.911,18.54
100864,756.712,40.242,14.834,44.928,17.186
100865,716.423,45.261,12.853,41.823,14.384
100866,862.698,43.845,12.769,43.381,6.069
100867,740.808,45.629,12.534,41.849,8.656
100868,665.682,52.451,8.593,38.955,9.743
100869,813.361,51.511,9.526,38.984,7.375
100870,743.53,55.83,8.002,36.206,8.017
100871,685.627,56.43,8.366,35.234,8.574
100872,787.416,54.88,9.334,35.795,6.701
100873,811.297,56.254,9.804,33.934,5.682
100874,835.691,57.425,10.11,32.444,5.761
100875,924.342,39.082,17.506,43.442,6.692
100876,875.046,33.158,18.143,48.707,9.813
100877,872.695,33.81,16.559,49.657,13.735
100878,917.619,32.376,17.325,50.32,13.522
100879,936.844,31.342,17.651,51.004,15.406
100880,928.989,31.111,18.101,50.796,15.888
100881,940.04,35.307,17.387,47.297,11.447
100882,956.307,33.672,17.734,48.636,9.572
100883,923.861,31.007,18.04,50.983,11.64
100884,873.03,34.153,16.338,49.572,12.209
100885,830.519,36.655,14.927,48.45,12.292
100886,833.665,34.298,15.638,50.116,15.213
100887,821.79,35.298,15.781,48.974,16.524
100888,808.863,38.653,15.364,45.98,15.479
100889,810.543,41.562,14.142,44.227,11.71
100890,894.594,44.503,13.361,42.117,5.902
100891,760.146,43.909,12.403,43.712,9.652
100892,693.203,50.133,9.245,40.634,10.027
100893,745.894,52.585,8.427,38.99,9.157
100894,738.599,58.406,7.086,34.586,9.258
100895,699.15,58.21,7.169,34.626,9.261
100896,770.028,56.322,8.46,35.237,6.327
100897,839.796,56.874,10.036,33.077,5.109
100898,884.536,52.632,13.48,33.873,5.634
100899,931.023,39.384,18.525,42.134,4.695
100900,892.148,32.527,18.464,49.008,8.945
100901,963.49,34.298,16.966,48.755,9.853
100902,994.656,35.066,17.972,46.981,8.28
100903,928.546,31.357,19.089,49.593,13.478
100904,1045.088,37.701,17.563,44.733,6.437
100905,1035.053,36.764,17.733,45.547,5.15
100906,919.495,32.979,17.104,49.932,11.663
100907,853.376,33.455,16.314,50.272,14.284
100908,850.833,36.098,15.418,48.584,11.966
100909,833.622,36.531,15.014,48.557,13.564
100910,842.772,36.773,14.86,48.457,14.368
100911,928.477,35.872,16.727,47.39,9.746
100912,902.325,38.002,15.628,46.334,7.375
100913,973.266,45.224,14.951,39.808,4.364
100914,814.504,43.658,12.986,43.351,9.915
100915,707.398,49.176,9.936,40.915,13.567
100916,695.154,53.505,8.349,38.17,11.019
100917,753.794,57.79,7.013,35.21,10.031
100918,709.802,56.993,7.181,35.805,10.376
100919,762.464,60.064,7.108,32.812,6.658
100920,823.353,56.226,9.205,34.528,4.707
100921,807.041,54.76,11.26,33.96,5.007
100922,1005.761,45.027,19.511,35.488,1.644
100923,945.44,39.435,18.312,42.26,2.098
100924,996.048,39.513,18.122,42.368,2.617
100925,1024.767,39.977,18.099,41.928,2.388
100926,1006.303,36.786,18.78,44.451,3.292
100927,1018.186,38.496,17.83,43.667,2.92
100928,987.741,38.703,18.115,43.186,1.889
100929,972.083,35.072,18.354,46.611,5.183
100930,897.651,35.819,18.428,45.754,6.337
100931,915.977,34.781,18.085,47.181,5.876
100932,903.106,37.693,15.907,46.465,7.066
100933,913.669,38.168,15.528,46.374,7.599
100934,878.209,43.043,13.442,43.525,6.492
100935,863.608,43.339,14.064,42.599,5.93
100936,883.467,47.481,12.313,40.178,5.173
100937,944.704,39.588,14.727,45.724,6.869
100938,718.321,50.551,9.483,39.998,12.715
100939,689.66,54.953,8.363,36.717,12.298
100940,735.552,53.417,8.14,38.438,10.1
100941,715.32,56.519,7.267,36.189,10.641
100942,761.264,59.582,7.022,33.402,7.988
100943,776.186,58.671,7.864,33.45,5.546
100944,789.819,53.245,11.871,34.856,3.725
100945,1028.892,46.143,17.733,36.128,1.616
100946,1016.743,46.155,16.96,36.897,1.875
100947,1008.326,44.911,16.873,38.223,2.008
100948,1004.421,44.217,18.239,37.548,2.274
100949,949.4,43.951,16.543,39.513,2.959
100950,908.331,44.157,16.389,39.441,2.58
100951,877.122,44.43,17.413,38.147,2.383
100952,768.559,44.62,15.132,40.268,4.531
100953,814.715,43.293,15.167,41.568,4.634
100954,791.235,42.947,13.537,43.572,7.021
100955,758.22,52.457,8.073,39.545,9.867
100956,708.449,56.176,6.489,37.389,11.933
100957,719.263,54.526,7.957,37.544,12.487
100958,783.854,52.008,9.837,38.164,9.683
100959,973.807,39.655,16.431,43.945,6.292
100960,766.369,47.394,10.823,41.803,13.222
100961,700.031,56.008,7.172,36.831,11.828
100962,737.787,51.693,8.149,40.151,10.372
100963,720.959,56.45,7.299,36.214,11.458
100964,788.706,58.087,7.335,34.568,7.63
100965,766.826,57.421,7.514,35.093,7.27
100966,796.682,56.091,9.829,34.065,4.668
100967,767.553,55.657,10.169,34.161,6.276
100968,835.805,46.668,16.119,37.218,2.999
100969,753.085,43.919,13.95,42.168,5.891
100970,751.333,46.135,9.826,44.167,9.254
100971,792.544,50.628,9.82,39.57,8.677
100972,708.4,56.47,6.341,37.274,10.152
100973,711.935,57.467,6.555,36.067,11.455
100974,738.797,57.956,6.129,35.943,13.659
100975,767.675,53.352,9.57,37.096,12.308
100976,867.013,44.376,13.904,41.755,9.333
100977,829.24,44.667,11.641,43.701,10.36
100978,717.189,55.341,6.442,38.229,13.393
100979,766.355,51.858,8.459,39.686,10.35
100980,722.216,56.708,6.7,36.585,11.62
100981,755.658,53.723,8.264,38.005,9.934
100982,784.449,55.21,9.048,35.752,9.337
100983,761.013,56.908,8.193,34.892,8.679
100984,799.908,51.817,12.018,36.158,5.852
100985,828.586,39.687,16.205,44.119,4.668
100986,839.182,42.146,13.721,44.162,6.052
100987,773.714,50.586,9.824,39.612,7.691
100988,735.736,57.256,5.985,36.777,10.026
100989,730.334,58.809,6.068,35.171,10.368
100990,754.977,57.776,6.28,35.944,11.927
100991,766.056,53.871,9.232,36.875,12.29
100992,900.541,43.69,16.326,40.009,9.133
100993,858.179,44.987,13.246,41.789,9.221
100994,752.847,54.639,6.911,38.445,13.344
100995,779.242,53.274,7.805,38.931,10.666
100996,735.713,55.86,6.693,37.449,11.347
100997,777.527,55.039,8.097,36.88,11.309
100998,785.937,55.104,8.791,36.09,10.714
100999,758.057,56.523,8.225,35.259,9.269
101000,799.684,52.321,11.37,36.299,7.368
101001,830.091,49.311,13.661,37.024,6.537
101002,846.378,52.507,12.945,34.543,8.751
101003,983.189,33.332,27.749,38.929,1.401
101004,858.559,44.934,16.291,38.785,2.897
101005,782.089,51.299,9.618,39.103,7.909
101006,751.575,56.573,6.776,36.681,10.801
101007,746.837,57.818,5.804,36.408,11.37
101008,721.776,59.387,5.865,34.783,10.76
101009,725.181,57.446,7.93,34.607,12.958
101010,928.089,44.242,16.779,38.987,7.805
101011,884.193,44.463,14.992,40.587,7.291
101012,775.032,53.142,7.264,39.588,12.25
101013,769.999,54.032,7.431,38.561,10.876
101014,790.217,54.05,7.58,38.382,9.085
101015,727.119,58.556,7.057,34.406,13.276
101016,732.096,56.042,8.784,35.188,12.547
101017,765.998,54.873,9.097,36.008,9.977
101018,760.073,56.572,8.522,34.867,9.635
101019,825.202,50.389,12.15,37.469,7.107
101020,796.448,50.31,12.008,37.688,6.868
101021,787.761,53.437,10.794,35.752,8.416
101022,805.674,53.361,11.774,34.866,9.554
101023,939.378,38.685,23.985,37.329,2.075
101024,901.002,34.293,24.294,41.415,2.209
101025,842.074,45.04,15.929,39.059,4.752
101026,791.253,54.853,7.898,37.272,9.654
101027,770.667,57.642,5.783,36.579,10.388
101028,769.69,59.475,6.12,34.399,10.268
101029,789.458,56.918,8.308,34.763,12.373
101030,878.35,48.054,13.949,38.002,8.136
101031,905.306,44.548,14.047,41.453,5.9
101032,761.002,52.765,7.415,39.834,11.031
101033,768.322,52.691,7.597,39.727,9.203
101034,802.208,53.534,7.777,38.711,7.735
101035,761.658,56.964,6.455,36.615,9.935
101036,685.438,56.116,7.665,36.233,13.463
101037,741.791,54.546,8.288,37.171,11.848
101038,742.421,52.478,8.451,39.043,10.356
101039,766.38,50.221,9.889,39.874,9.302
101040,803.98,48.087,11.865,40.017,7.639
101041,766.718,49.707,10.439,39.845,8.682
101042,774.002,49.707,10.952,39.342,9.754
101043,816.759,55.618,10.851,33.522,10.618
101044,812.248,56.773,11.287,31.919,12.985
101045,920.767,35.892,26.179,37.928,2.323
101046,927.723,36.493,23.187,40.318,1.932
101047,843.108,49,13.14,37.862,6.842
101048,809.736,55.099,7.422,37.496,9.695
101049,744.99,58.705,5.453,35.878,10.889
101050,794.138,57.224,6.875,35.87,10.607
101051,942.41,48.773,14.19,37.026,5.253
101052,926.643,46.911,12.194,40.925,3.809
101053,775.526,51.797,7.949,40.295,9.056
101054,773.764,50.535,7.744,41.791,9.227
101055,772.831,52.816,7.713,39.512,9.782
101056,761.777,55.582,6.317,38.151,11.482
101057,728.847,55.441,6.724,37.861,11.813
101058,694.11,53.311,7.82,38.864,12.69
101059,757.873,52.435,8.191,39.36,10.777
101060,746.508,49.405,9.091,41.49,10.46
101061,790.255,47.958,10.598,41.417,10.102
101062,816.665,46.441,11.114,42.382,8.477
101063,774.004,47.464,10.195,42.295,9.557
101064,781.793,51.501,10.446,38.048,9.58
101065,792.383,53.692,10.409,35.895,9.481
101066,793.331,53.701,10.476,35.805,9.486
101067,814.266,53.031,11.388,35.581,9.161
101068,916.145,43.51,21.142,35.347,2.789
101069,866.207,50.895,15.327,33.769,2.686
101070,905.251,48.167,14.731,37.1,4.092
101071,878.587,50.483,10.398,39.094,7.499
101072,848.948,52.899,9.024,38.069,8.617
101073,957.223,46.671,15.434,37.886,4.211
101074,925.962,42.936,15.007,42.078,3.057
101075,782.703,51.268,9.04,39.718,7.891
101076,799.548,49.702,9.084,41.242,9.602
101077,768.187,51.626,7.859,40.578,10.776
101078,718.6,54.084,6.925,39.05,11.672
101079,673.352,50.694,8.632,40.708,12.872
101080,637.99,53.169,8.365,38.467,12.595
101081,651.404,51.791,8.097,40.115,12.52
101082,739.541,50.286,8.772,40.909,10.934
101083,801.826,46.218,10.702,43.025,9.373
101084,815.296,46.069,10.864,43.004,11.191
101085,804.644,45.091,10.785,44.025,10.101
101086,811.205,49.979,10.761,39.234,6.608
101087,764.54,52.904,9.961,37.108,9.667
101088,778.684,53.58,10.242,36.16,9.104
101089,793.338,53.643,10.538,35.797,8.66
101090,782.973,54.049,10.612,35.324,8.26
101091,639.871,47.078,9.655,43.373,12.054
101092,604.902,49.107,9.382,41.569,12.513
101093,652.05,50.717,9.134,40.194,11.636
101094,667.458,51.54,8.984,39.462,13.098
101095,719.342,49.633,9.302,41.001,11.027
101096,746.832,46.956,9.952,42.964,10.973
101097,792.834,44.149,11.523,44.232,10.285
101098,771.595,50.357,10.543,39.056,8.705
101099,752.719,51.905,10.316,37.748,9.564
101100,734.863,52.938,10.503,36.539,10.032
101101,766.613,52.212,10.799,36.98,8.941
101102,784.134,52.929,10.294,36.765,8.432
101103,617.313,50.05,9.273,40.667,12.742
101104,673.705,48.149,9.911,41.929,12.196
101105,669.028,48.454,9.908,41.608,13.223
101106,669.19,49.592,9.64,40.75,13.23
101107,722.058,48.748,9.827,41.353,11.525
101108,732.196,49.429,10.329,40.189,11.47
101109,744.745,51.67,10.126,38.193,9.571
101110,725.554,52.238,10.21,37.537,9.779
101111,755.436,52.276,10.791,36.914,8.977
101112,584.729,47.691,10.192,42.097,12.089
101113,593.379,46.487,11.344,42.112,12.252
101114,606.8,46.201,11.165,42.58,14.479
101115,573.419,46.69,11.222,42.085,14.681
101116,604.401,50.035,9.617,40.326,14.295
101117,715.199,52.85,9.117,37.998,12.488
101118,734.154,52.444,9.284,38.25,10.765
101119,740.059,50.733,10.326,38.894,8.97
101120,729.475,51.823,10.262,37.892,8.839
101121,523.525,44.156,11.343,44.496,13.068
101122,553.889,43.967,11.955,44.009,14.331
101123,572.424,44.666,12.131,43.122,13.73
101124,593.792,50.991,10.287,38.693,15.283
101125,648.527,53.819,9.593,36.564,14.94
101126,743.633,51.008,9.994,38.952,10.955
101127,745.268,52.742,10.217,37.019,10.529
101128,502.796,42.589,12.258,45.214,14.355
101129,493.328,42.163,12.624,45.217,13.828
101130,554.127,43.662,13.05,43.224,15.925
101131,545.006,46.98,11.911,41.091,16.247
101132,601.976,49.314,10.692,39.94,14.014
101133,639.882,47.609,11.265,41.051,12.647
101134,705.519,48.063,11.615,40.261,10.927
101135,479.446,43.839,13.266,42.901,13.668
101136,484.463,45.667,12.052,42.308,15.304
101137,504.277,44.22,12.632,43.166,16.422
101138,548.406,44.776,12.471,42.672,15.701
101139,570.127,45.924,12.354,41.628,13.451
101140,582.632,46.253,12.232,41.463,12.785
101141,489.596,46.039,13.053,40.876,13.15
101142,455.645,44.937,12.566,42.507,14.161
101143,466.002,42.801,13.391,43.75,15.341
101144,477.415,43.794,13.005,43.165,16.99
101145,596.234,45.832,13.182,40.937,14.283
101146,635.778,44.218,14.074,41.693,13.62
101147,461.789,45.98,13.003,40.989,12.903
101148,469.258,45.948,12.866,41.236,14.358
101149,454.356,42.682,14.091,43.235,13.949
101150,459.6,43.089,13.82,43.096,16.329
101151,528.777,44.385,14.358,41.269,15.959
101152,710.211,39.616,17.407,42.955,13.023
101153,441.916,45.662,13.624,40.751,14.25
101154,461.776,44.278,13.587,42.191,14.176
101155,476.162,43.029,13.953,43.042,16.396
101156,523.492,43.459,14.847,41.689,15.871
101157,551.707,41.18,16.433,42.375,13.815
101158,463.004,43.414,14.541,42.074,13.849
